策略类别,渠道/维度,原预算万,建议预算万,调整万,调整幅度,增量ROI,原因
新客-补贴率优化,搜索引擎,20,10,-10,-50%,1.6,增量ROI仅1.6，严重低效
新客-补贴率优化,App首页弹窗,40,23,-17,-43%,2.3,补贴率从14%降至10%
新客-补贴率优化,社交裂变,30,30,0,0%,3.0,维持现有效率
新客-补贴率优化,短信Push,16,14,-2,-12%,2.5,微降
新客-补贴率优化,线下物料,18,12,-6,-33%,2.2,效率一般
新客小计,,124,89,-35,-28%,,
老客高效渠道加投,老客高活-订单页,60,77,+17,+28%,5.2,增量ROI最高5.2
老客高效渠道加投,老客中活-订单页,80,102,+22,+28%,4.0,增量ROI 4.0
老客高效渠道加投,老客高活-搜索推荐,50,60,+10,+20%,4.5,增量ROI 4.5
老客高效渠道加投,老客中活-搜索推荐,60,72,+12,+20%,3.5,增量ROI 3.5
高效渠道小计,,250,311,+61,+24%,,
老客低效渠道收缩,老客低活-AppPush,60,48,-12,-20%,1.8,增量ROI仅1.8
老客低效渠道收缩,老客低活-首页弹窗,44,35,-9,-20%,2.0,偏低
老客低效渠道小计,,104,83,-21,-20%,,
时段优化,早餐时段,50,68,+18,+36%,4.0,增量ROI最高
时段优化,下午茶时段,40,45,+5,+12.5%,3.2,中
时段小计,,90,113,+23,+26%,,
汇总调整,原预算合计,1000万
净变化计算,新客节省,-35,高效渠道,+61,低效收缩,-21,时段,+23
净变化合计,,,-5万,总预算降至995万（节省5万）
